strategy,peakOvr,finalLeague,nhlGames,championships,individualAwards,retirementAge,careerEarnings,wasDemoted,hitUFA
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
BASELINE,306,NHL,0,0,0,16,0,false,false
